name,latitude,longitude,common_name,scientific_name,indivuals,source,state
rajabandi,16.65523167,80.49441331,Yellow Orange Tip,Ixias pyrene,1,inat,Andhra Pradesh
rajabandi,16.65520664,80.49444664,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.65524167,80.49444497,Grass Yellows,Eurema,1,inat,Andhra Pradesh
rajabandi,16.66353167,80.49466997,Lime Blue,Chilades lajus,1,inat,Andhra Pradesh
rajabandi,16.66396664,80.494805,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.664415,80.49498167,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.66857333,80.494725,Common Jay,Graphium doson,1,inat,Andhra Pradesh
rajabandi,16.668575,80.49467833,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.66856997,80.49469664,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.668555,80.49471331,"Whites, Yellows, and Sulphurs",Pieridae,1,inat,Andhra Pradesh
rajabandi,16.66857997,80.49471,Black Rajah,Charaxes solon,1,inat,Andhra Pradesh
rajabandi,16.66858333,80.49471,Black Rajah,Charaxes solon,1,inat,Andhra Pradesh
rajabandi,16.66863167,80.49469997,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.66862831,80.49471831,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.668595,80.50049997,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.66995831,80.50098497,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.67138664,80.50168497,Angled Castor,Ariadne ariadne,1,inat,Andhra Pradesh
rajabandi,16.66869664,80.49476164,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
rajabandi,16.66868997,80.49475997,Common Mormon Swallowtail,Papilio polytes,1,inat,Andhra Pradesh
rajabandi,16.57906497,80.70144,Swifts and Allies,Baorini,1,inat,Andhra Pradesh
rajabandi,16.57907497,80.70144328,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.57902497,80.70147497,Yellow Orange Tip,Ixias pyrene,1,inat,Andhra Pradesh
rajabandi,16.57899497,80.70149331,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.579,80.70152167,Swifts and Allies,Baorini,1,inat,Andhra Pradesh
rajabandi,16.57898331,80.70158333,Small Salmon Arab,Colotis amata,1,inat,Andhra Pradesh
rajabandi,16.57899497,80.70160497,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.57889831,80.70169833,Little Orange-tip,Colotis etrida,1,inat,Andhra Pradesh
rajabandi,16.5789,80.70171333,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.57893664,80.70170833,Forget-me-not,Catochrysops strabo,1,inat,Andhra Pradesh
